model,model_description,model_detailed_description,price,type_type_id
WLIL,"A lifter made for lifting. Lift heavy and lift often, you workhorse, you.","The leather used in the NOBULL Lifter is hand selected, top grain material, embedded with natural oils. The result is an exceptionally strong and durable leather, with rich texture.;The Lifter's stacked leather heel consists of individually cut layers, bonded, waxed, finished and buffed for smooth, beautiful contours that reveal the natural grains. 2-3 hours of precise handwork goes into each heel and outsole.;Molded, removable sockliner.;18.5mm heel to toe drop.",49.99,0
WLIR,"The Knit Runner features a lightweight, breathable, stretch knit upper that moves with you.","The upper of the Knit Runner features a seamless, breathable and stretch knit sock construction.;The outsole lug pattern was designed for multi-environment usage, at home on the road as well as off.;Reflective laces for visibility when you need it most.;Removable molded anatomical sockliner.;Medial post out of higher durometer EVA.;The Knit Runner comes with two pairs of reflective laces.;10mm heel to toe drop.;Weight: 10.6 oz. (Men's Size 9)",69.99,1
WLIT,"Run, climb, slide, grind, lift....these kicks have you covered.","Lightweight, breathable and flexible protection that moves the way you do. 	The upper of the Trainer features a seamless one-piece construction of SuperFabric®, an extremely durable, breathable and abrasion resistant material.;The SuperFabric® guard plates are applied on a highly flexible mesh base layer, creating a 360 degree shield from zombies, rope climbs, and excuses.;The outsole lug pattern was designed for multi-environment usage, allowing for an easy transition between inside and outside with the right blend of flexibility, traction and support.;High carbon lateral and medial guards for added protection on sidewalls.;Reflective NOBULL logo for visibility when you need it most.;Breathable perforated microsuede tongue.;Molded, anatomical sockliner.;Medial rope grip.;The Trainer comes with two pairs of laces.;4mm heel to toe drop.",64.99,2
